qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	98.024	6528	49	22	1351	7868	31294688	31288231	0.0	11267.0
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	98.584	353	5	0	1006	1358	31296156	31295804	3.0699999999999984e-175	625.0
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	99.225	258	2	0	751	1008	31298242	31297985	1.9699999999999993e-127	466.0
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	100.0	233	0	0	71	303	31308886	31308654	7.179999999999998e-117	431.0
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	99.134	231	2	0	521	751	31299181	31298951	2.0099999999999995e-112	416.0
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	99.40100000000001	167	1	0	354	520	31303246	31303080	1.6299999999999998e-78	303.0
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	100.0	72	0	0	1	72	31332426	31332355	2.27e-27	134.0
XM_028458435.1	Gouania_hofrichteri_NC_041052.1_RagTag	97.992	5230	64	12	1351	6566	30745923	30740721	0.0	9038.0
XM_028458435.1	Gouania_hofrichteri_NC_041052.1_RagTag	97.619	1344	14	4	6529	7868	30740566	30739237	0.0	2289.0
XM_028458435.1	Gouania_hofrichteri_NC_041052.1_RagTag	98.867	353	4	0	1006	1358	30747376	30747024	6.589999999999999e-177	630.0
XM_028458435.1	Gouania_hofrichteri_NC_041052.1_RagTag	99.225	258	2	0	751	1008	30749378	30749121	1.9699999999999993e-127	466.0
XM_028458435.1	Gouania_hofrichteri_NC_041052.1_RagTag	100.0	231	0	0	521	751	30750325	30750095	9.289999999999997e-116	427.0
XM_028458435.1	Gouania_hofrichteri_NC_041052.1_RagTag	99.571	233	1	0	71	303	30758574	30758342	3.339999999999999e-115	425.0
XM_028458435.1	Gouania_hofrichteri_NC_041052.1_RagTag	98.204	167	3	0	354	520	30754333	30754167	3.529999999999999e-75	292.0
XM_028458435.1	Gouania_hofrichteri_NC_041052.1_RagTag	100.0	72	0	0	1	72	30779110	30779039	2.27e-27	134.0
XM_028458435.1	Gouania_pigra_NC_041052.1_RagTag	98.109	3860	41	5	1351	5200	29431900	29428063	0.0	6695.0
XM_028458435.1	Gouania_pigra_NC_041052.1_RagTag	98.26899999999999	2542	25	6	5329	7868	29428061	29425537	0.0	4433.0
XM_028458435.1	Gouania_pigra_NC_041052.1_RagTag	98.3	353	6	0	1006	1358	29433759	29433407	1.4299999999999999e-173	619.0
XM_028458435.1	Gouania_pigra_NC_041052.1_RagTag	99.225	258	2	0	751	1008	29435698	29435441	1.9699999999999993e-127	466.0
XM_028458435.1	Gouania_pigra_NC_041052.1_RagTag	99.56700000000001	231	1	0	521	751	29436653	29436423	4.3199999999999985e-114	422.0
XM_028458435.1	Gouania_pigra_NC_041052.1_RagTag	99.14200000000001	233	2	0	71	303	29444438	29444206	1.5499999999999995e-113	420.0
XM_028458435.1	Gouania_pigra_NC_041052.1_RagTag	98.204	167	3	0	354	520	29440228	29440062	3.529999999999999e-75	292.0
XM_028458435.1	Gouania_pigra_NC_041052.1_RagTag	100.0	72	0	0	1	72	29466760	29466689	2.27e-27	134.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	90.96700000000001	1893	97	33	3057	4911	25893221	25891365	0.0	2481.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	92.029	1493	73	27	1351	2812	25894878	25893401	0.0	2056.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	88.941	1284	60	24	5681	6899	25890433	25889167	0.0	1509.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.867	353	4	0	1006	1358	25896256	25895904	6.589999999999999e-177	630.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	81.08800000000001	735	60	28	7201	7868	25888788	25888066	1.9299999999999994e-142	516.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	96.484	256	9	0	753	1008	25898209	25897954	1.1999999999999999e-114	424.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.28299999999999	233	4	0	71	303	25905363	25905131	3.3599999999999986e-110	409.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.26799999999999	231	4	0	521	751	25899161	25898931	4.35e-109	405.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	95.21	167	8	0	354	520	25901772	25901606	7.709999999999998e-67	265.0
XM_028458435.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.611	72	1	0	1	72	25922629	25922558	1.0499999999999998e-25	128.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	81.365	542	60	19	1351	1885	581886	582393	1.5599999999999997e-108	403.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	95.279	233	11	0	71	303	572640	572872	1.5899999999999998e-98	370.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	92.829	251	18	0	758	1008	579838	580088	7.379999999999998e-97	364.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	89.40700000000001	236	21	3	518	751	579492	579725	9.829999999999998e-76	294.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	80.117	342	40	19	1935	2257	582542	582874	2.81e-56	230.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	91.463	164	14	0	357	520	577948	578111	3.64e-55	226.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	89.881	168	16	1	1192	1358	581601	581768	7.87e-52	215.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	76.13600000000001	440	50	35	4035	4428	583676	584106	2.87e-41	180.0
XM_028458435.1	Salarias_fasciatus_CABFVM010001860.1	91.2	125	11	0	1008	1132	581391	581515	1.73e-38	171.0
XM_028458435.1	Lepadogaster_lepadogaster_1986828	93.75	160	7	3	6455	6614	1	157	1.6799999999999996e-58	237.0
XM_028458435.1	Lepadogaster_lepadogaster_3819271	87.01299999999999	154	14	3	7721	7868	179	26	6.21e-38	169.0
XM_028458435.1	Lepadogaster_lepadogaster_1292699	98.551	69	1	0	1006	1074	69	1	4.9100000000000004e-24	122.0
XM_028458434.1	Gouania_willdenowi_LR131997.1	100.0	6518	0	0	1393	7910	32909503	32902986	0.0	12037.0
XM_028458434.1	Gouania_willdenowi_LR131997.1	100.0	258	0	0	865	1122	32912907	32912650	9.139999999999998e-131	477.0
XM_028458434.1	Gouania_willdenowi_LR131997.1	99.167	240	1	1	179	417	32921602	32921363	7.219999999999998e-117	431.0
XM_028458434.1	Gouania_willdenowi_LR131997.1	100.0	231	0	0	635	865	32913847	32913617	9.339999999999998e-116	427.0
XM_028458434.1	Gouania_willdenowi_LR131997.1	99.40100000000001	167	1	0	468	634	32917387	32917221	1.64e-78	303.0
XM_028458434.1	Gouania_willdenowi_LR131997.1	99.375	160	1	0	1241	1400	32910778	32910619	1.2799999999999997e-74	291.0
XM_028458434.1	Gouania_willdenowi_LR131997.1	100.0	135	0	0	1	135	33021153	33021019	2.1699999999999996e-62	250.0
XM_028458434.1	Gouania_willdenowi_LR131997.1	100.0	123	0	0	1120	1242	32910971	32910849	1.0199999999999998e-55	228.0
XM_028458434.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.102	6532	63	16	1393	7910	29361898	29355414	0.0	11319.0
XM_028458434.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.837	258	3	0	865	1122	29365411	29365154	9.209999999999998e-126	460.0
XM_028458434.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.75	240	2	1	179	417	29373659	29373420	3.36e-115	425.0
XM_028458434.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	99.56700000000001	231	1	0	635	865	29366352	29366122	4.339999999999999e-114	422.0
XM_028458434.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.204	167	3	0	468	634	29369227	29369061	3.549999999999999e-75	292.0
XM_028458434.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.125	160	3	0	1241	1400	29363087	29362928	2.7699999999999996e-71	279.0
XM_028458434.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	100.0	135	0	0	1	135	29471956	29471822	2.1699999999999996e-62	250.0
XM_028458434.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.374	123	2	0	1120	1242	29363280	29363158	2.2e-52	217.0
XM_028458434.1	Gouania_orientalis_NC_041052.1_RagTag	98.024	6528	49	22	1393	7910	31294688	31288231	0.0	11267.0
XM_028458434.1	Gouania_orientalis_NC_041052.1_RagTag	99.225	258	2	0	865	1122	31298242	31297985	1.9799999999999994e-127	466.0
XM_028458434.1	Gouania_orientalis_NC_041052.1_RagTag	99.167	240	1	1	179	417	31308893	31308654	7.219999999999998e-117	431.0
XM_028458434.1	Gouania_orientalis_NC_041052.1_RagTag	99.134	231	2	0	635	865	31299181	31298951	2.0199999999999996e-112	416.0
XM_028458434.1	Gouania_orientalis_NC_041052.1_RagTag	99.40100000000001	167	1	0	468	634	31303246	31303080	1.64e-78	303.0
XM_028458434.1	Gouania_orientalis_NC_041052.1_RagTag	98.75	160	2	0	1241	1400	31295963	31295804	5.949999999999999e-73	285.0
XM_028458434.1	Gouania_orientalis_NC_041052.1_RagTag	100.0	135	0	0	1	135	31407959	31407825	2.1699999999999996e-62	250.0
XM_028458434.1	Gouania_orientalis_NC_041052.1_RagTag	99.18700000000001	123	1	0	1120	1242	31296156	31296034	4.729999999999999e-54	222.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	97.992	5230	64	12	1393	6608	30745923	30740721	0.0	9038.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	97.619	1344	14	4	6571	7910	30740566	30739237	0.0	2289.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	99.225	258	2	0	865	1122	30749378	30749121	1.9799999999999994e-127	466.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	100.0	231	0	0	635	865	30750325	30750095	9.339999999999998e-116	427.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	98.75	240	2	1	179	417	30758581	30758342	3.36e-115	425.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	98.204	167	3	0	468	634	30754333	30754167	3.549999999999999e-75	292.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	98.75	160	2	0	1241	1400	30747183	30747024	5.949999999999999e-73	285.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	100.0	135	0	0	1	135	30853190	30853056	2.1699999999999996e-62	250.0
XM_028458434.1	Gouania_hofrichteri_NC_041052.1_RagTag	99.18700000000001	123	1	0	1120	1242	30747376	30747254	4.729999999999999e-54	222.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	98.109	3860	41	5	1393	5242	29431900	29428063	0.0	6695.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	98.26899999999999	2542	25	6	5371	7910	29428061	29425537	0.0	4433.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	99.225	258	2	0	865	1122	29435698	29435441	1.9799999999999994e-127	466.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	99.56700000000001	231	1	0	635	865	29436653	29436423	4.339999999999999e-114	422.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	98.333	240	3	1	179	417	29444445	29444206	1.5599999999999997e-113	420.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	98.204	167	3	0	468	634	29440228	29440062	3.549999999999999e-75	292.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	98.125	160	3	0	1241	1400	29433566	29433407	2.7699999999999996e-71	279.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	100.0	135	0	0	1	135	29537777	29537643	2.1699999999999996e-62	250.0
XM_028458434.1	Gouania_pigra_NC_041052.1_RagTag	99.18700000000001	123	1	0	1120	1242	29433759	29433637	4.729999999999999e-54	222.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	90.96700000000001	1893	97	33	3099	4953	25893221	25891365	0.0	2481.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	92.029	1493	73	27	1393	2854	25894878	25893401	0.0	2056.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	88.941	1284	60	24	5723	6941	25890433	25889167	0.0	1509.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	81.08800000000001	735	60	28	7243	7910	25888788	25888066	1.9399999999999996e-142	516.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	96.484	256	9	0	867	1122	25898209	25897954	1.2099999999999996e-114	424.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	97.5	240	5	1	179	417	25905370	25905131	3.3799999999999994e-110	409.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.26799999999999	231	4	0	635	865	25899161	25898931	4.37e-109	405.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.75	160	2	0	1241	1400	25896063	25895904	5.949999999999999e-73	285.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	95.21	167	8	0	468	634	25901772	25901606	7.749999999999998e-67	265.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.374	123	2	0	1120	1242	25896256	25896134	2.2e-52	217.0
XM_028458434.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	95.181	83	4	0	53	135	25988534	25988452	8.2e-27	132.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	81.365	542	60	19	1393	1927	581886	582393	1.5699999999999995e-108	403.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	94.93700000000001	237	12	0	181	417	572636	572872	4.439999999999998e-99	372.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	92.829	251	18	0	872	1122	579838	580088	7.419999999999997e-97	364.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	89.40700000000001	236	21	3	632	865	579492	579725	9.880000000000001e-76	294.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	80.117	342	40	19	1977	2299	582542	582874	2.8299999999999997e-56	230.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	91.463	164	14	0	471	634	577948	578111	3.66e-55	226.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	90.0	160	16	0	1241	1400	581609	581768	1.32e-49	207.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	76.13600000000001	440	50	35	4077	4470	583676	584106	2.8899999999999995e-41	180.0
XM_028458434.1	Salarias_fasciatus_CABFVM010001860.1	90.90899999999999	121	11	0	1122	1242	581391	581511	2.91e-36	163.0
XM_028458434.1	Lepadogaster_lepadogaster_1986828	93.75	160	7	3	6497	6656	1	157	1.6899999999999996e-58	237.0
XM_028458434.1	Lepadogaster_lepadogaster_3819271	87.01299999999999	154	14	3	7763	7910	179	26	6.25e-38	169.0
XM_028458434.1	Lepadogaster_lepadogaster_1292699	98.551	69	1	0	1120	1188	69	1	4.93e-24	122.0
XM_028458432.1	Gouania_willdenowi_LR131997.1	100.0	6518	0	0	1465	7982	32909503	32902986	0.0	12037.0
XM_028458432.1	Gouania_willdenowi_LR131997.1	99.71700000000001	353	1	0	1120	1472	32910971	32910619	0.0	647.0
XM_028458432.1	Gouania_willdenowi_LR131997.1	100.0	258	0	0	865	1122	32912907	32912650	9.219999999999999e-131	477.0
XM_028458432.1	Gouania_willdenowi_LR131997.1	99.167	240	1	1	179	417	32921602	32921363	7.279999999999998e-117	431.0
XM_028458432.1	Gouania_willdenowi_LR131997.1	100.0	231	0	0	635	865	32913847	32913617	9.419999999999997e-116	427.0
XM_028458432.1	Gouania_willdenowi_LR131997.1	99.40100000000001	167	1	0	468	634	32917387	32917221	1.6599999999999996e-78	303.0
XM_028458432.1	Gouania_willdenowi_LR131997.1	100.0	135	0	0	1	135	33021153	33021019	2.19e-62	250.0
XM_028458432.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.102	6532	63	16	1465	7982	29361898	29355414	0.0	11319.0
XM_028458432.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.584	353	5	0	1120	1472	29363280	29362928	3.109999999999999e-175	625.0
XM_028458432.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.837	258	3	0	865	1122	29365411	29365154	9.289999999999998e-126	460.0
XM_028458432.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.75	240	2	1	179	417	29373659	29373420	3.389999999999999e-115	425.0
XM_028458432.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	99.56700000000001	231	1	0	635	865	29366352	29366122	4.379999999999999e-114	422.0
XM_028458432.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.204	167	3	0	468	634	29369227	29369061	3.5899999999999995e-75	292.0
XM_028458432.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	100.0	135	0	0	1	135	29471956	29471822	2.19e-62	250.0
XM_028458432.1	Gouania_orientalis_NC_041052.1_RagTag	98.024	6528	49	22	1465	7982	31294688	31288231	0.0	11267.0
XM_028458432.1	Gouania_orientalis_NC_041052.1_RagTag	98.584	353	5	0	1120	1472	31296156	31295804	3.109999999999999e-175	625.0
XM_028458432.1	Gouania_orientalis_NC_041052.1_RagTag	99.225	258	2	0	865	1122	31298242	31297985	1.9999999999999996e-127	466.0
XM_028458432.1	Gouania_orientalis_NC_041052.1_RagTag	99.167	240	1	1	179	417	31308893	31308654	7.279999999999998e-117	431.0
XM_028458432.1	Gouania_orientalis_NC_041052.1_RagTag	99.134	231	2	0	635	865	31299181	31298951	2.0399999999999997e-112	416.0
XM_028458432.1	Gouania_orientalis_NC_041052.1_RagTag	99.40100000000001	167	1	0	468	634	31303246	31303080	1.6599999999999996e-78	303.0
XM_028458432.1	Gouania_orientalis_NC_041052.1_RagTag	100.0	135	0	0	1	135	31407959	31407825	2.19e-62	250.0
XM_028458432.1	Gouania_hofrichteri_NC_041052.1_RagTag	97.992	5230	64	12	1465	6680	30745923	30740721	0.0	9038.0
XM_028458432.1	Gouania_hofrichteri_NC_041052.1_RagTag	97.619	1344	14	4	6643	7982	30740566	30739237	0.0	2289.0
XM_028458432.1	Gouania_hofrichteri_NC_041052.1_RagTag	98.867	353	4	0	1120	1472	30747376	30747024	6.689999999999998e-177	630.0
XM_028458432.1	Gouania_hofrichteri_NC_041052.1_RagTag	99.225	258	2	0	865	1122	30749378	30749121	1.9999999999999996e-127	466.0
XM_028458432.1	Gouania_hofrichteri_NC_041052.1_RagTag	100.0	231	0	0	635	865	30750325	30750095	9.419999999999997e-116	427.0
XM_028458432.1	Gouania_hofrichteri_NC_041052.1_RagTag	98.75	240	2	1	179	417	30758581	30758342	3.389999999999999e-115	425.0
XM_028458432.1	Gouania_hofrichteri_NC_041052.1_RagTag	98.204	167	3	0	468	634	30754333	30754167	3.5899999999999995e-75	292.0
XM_028458432.1	Gouania_hofrichteri_NC_041052.1_RagTag	100.0	135	0	0	1	135	30853190	30853056	2.19e-62	250.0
XM_028458432.1	Gouania_pigra_NC_041052.1_RagTag	98.109	3860	41	5	1465	5314	29431900	29428063	0.0	6695.0
XM_028458432.1	Gouania_pigra_NC_041052.1_RagTag	98.26899999999999	2542	25	6	5443	7982	29428061	29425537	0.0	4433.0
XM_028458432.1	Gouania_pigra_NC_041052.1_RagTag	98.3	353	6	0	1120	1472	29433759	29433407	1.4499999999999994e-173	619.0
XM_028458432.1	Gouania_pigra_NC_041052.1_RagTag	99.225	258	2	0	865	1122	29435698	29435441	1.9999999999999996e-127	466.0
XM_028458432.1	Gouania_pigra_NC_041052.1_RagTag	99.56700000000001	231	1	0	635	865	29436653	29436423	4.379999999999999e-114	422.0
XM_028458432.1	Gouania_pigra_NC_041052.1_RagTag	98.333	240	3	1	179	417	29444445	29444206	1.5799999999999996e-113	420.0
XM_028458432.1	Gouania_pigra_NC_041052.1_RagTag	98.204	167	3	0	468	634	29440228	29440062	3.5899999999999995e-75	292.0
XM_028458432.1	Gouania_pigra_NC_041052.1_RagTag	100.0	135	0	0	1	135	29537777	29537643	2.19e-62	250.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	90.96700000000001	1893	97	33	3171	5025	25893221	25891365	0.0	2481.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	92.029	1493	73	27	1465	2926	25894878	25893401	0.0	2056.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	88.941	1284	60	24	5795	7013	25890433	25889167	0.0	1509.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.867	353	4	0	1120	1472	25896256	25895904	6.689999999999998e-177	630.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	81.08800000000001	735	60	28	7315	7982	25888788	25888066	1.9499999999999994e-142	516.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	96.484	256	9	0	867	1122	25898209	25897954	1.22e-114	424.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	97.5	240	5	1	179	417	25905370	25905131	3.4099999999999993e-110	409.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	98.26799999999999	231	4	0	635	865	25899161	25898931	4.409999999999999e-109	405.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	95.21	167	8	0	468	634	25901772	25901606	7.819999999999999e-67	265.0
XM_028458432.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	95.181	83	4	0	53	135	25988534	25988452	8.27e-27	132.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	81.365	542	60	19	1465	1999	581886	582393	1.5899999999999996e-108	403.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	94.93700000000001	237	12	0	181	417	572636	572872	4.479999999999999e-99	372.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	92.829	251	18	0	872	1122	579838	580088	7.49e-97	364.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	89.40700000000001	236	21	3	632	865	579492	579725	9.969999999999999e-76	294.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	80.117	342	40	19	2049	2371	582542	582874	2.85e-56	230.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	91.463	164	14	0	471	634	577948	578111	3.689999999999999e-55	226.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	89.881	168	16	1	1306	1472	581601	581768	7.979999999999999e-52	215.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	76.13600000000001	440	50	35	4149	4542	583676	584106	2.91e-41	180.0
XM_028458432.1	Salarias_fasciatus_CABFVM010001860.1	91.2	125	11	0	1122	1246	581391	581515	1.7499999999999998e-38	171.0
XM_028458432.1	Lepadogaster_lepadogaster_1986828	93.75	160	7	3	6569	6728	1	157	1.7e-58	237.0
XM_028458432.1	Lepadogaster_lepadogaster_3819271	87.01299999999999	154	14	3	7835	7982	179	26	6.31e-38	169.0
XM_028458432.1	Lepadogaster_lepadogaster_1292699	98.551	69	1	0	1120	1188	69	1	4.9800000000000006e-24	122.0
XM_030105026.1	Salarias_fasciatus_CABFVM010001860.1	100.0	920	0	0	1246	2165	581886	582805	0.0	1700.0
XM_030105026.1	Salarias_fasciatus_CABFVM010001860.1	100.0	256	0	0	718	973	579831	580086	3.2099999999999988e-130	473.0
XM_030105026.1	Salarias_fasciatus_CABFVM010001860.1	100.0	233	0	0	38	270	572640	572872	1.96e-117	431.0
XM_030105026.1	Salarias_fasciatus_CABFVM010001860.1	98.729	236	3	0	485	720	579492	579727	4.239999999999999e-114	420.0
XM_030105026.1	Salarias_fasciatus_CABFVM010001860.1	99.39	164	1	0	324	487	577948	578111	2.0699999999999995e-77	298.0
XM_030105026.1	Salarias_fasciatus_CABFVM010001860.1	99.37899999999999	161	1	0	1094	1254	581609	581769	9.649999999999998e-76	292.0
XM_030105026.1	Salarias_fasciatus_CABFVM010001860.1	100.0	123	0	0	973	1095	581389	581511	2.7599999999999996e-56	228.0
XM_030105026.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	81.618	544	55	18	1246	1753	29361898	29361364	9.179999999999999e-111	409.0
XM_030105026.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	94.85	233	12	0	38	270	29373652	29373420	2.0199999999999993e-97	364.0
XM_030105026.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	92.369	249	19	0	725	973	29365404	29365156	1.2099999999999997e-94	355.0
XM_030105026.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	89.7	233	24	0	488	720	29366352	29366120	2.0699999999999995e-77	298.0
XM_030105026.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	90.476	168	16	0	320	487	29369228	29369061	1.28e-54	222.0
XM_030105026.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	83.333	228	24	11	1905	2125	29361311	29361091	2.1599999999999998e-47	198.0
XM_030105026.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	88.75	160	18	0	1094	1253	29363087	29362928	7.779999999999999e-47	196.0
XM_030105026.1	Lepadogaster_lepadogaster_NC_041052.1_RagTag	81.434	544	55	22	1246	1753	25894878	25894345	4.270000000000001e-109	403.0
